CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription Duration,,,
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,2638,365,,,67540175
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,2456,365,,,
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,2833,365,,,
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,1309,365,,,
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,2153,365,,,
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,1317,365,,,
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,2991,365,,,
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,1278,365,,,
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,1296,365,,,
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,1168,365,,,
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,2502,365,,,
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,2855,365,,,
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,1807,365,,,
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,1078,366,,,
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,2285,366,,,
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,1960,366,,,
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,2631,366,,,
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,2485,366,,,
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,1980,366,,,
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,2443,366,,,
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,1728,365,,,
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,1360,365,,,
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,2787,365,,,
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,1143,365,,,
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,2996,365,,,
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,2040,365,,,
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,1873,365,,,
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,1312,365,,,
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,2258,365,,,
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,1921,365,,,
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,1286,365,,,
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,2597,365,,,
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,2275,365,,,
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,1019,366,,,
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,2212,366,,,
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,2511,366,,,
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,1308,366,,,
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,1925,366,,,
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,1047,366,,,
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,2639,366,,,
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,1829,365,,,
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,1067,365,,,
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,1125,365,,,
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,2633,365,,,
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,2633,365,,,
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,2850,365,,,
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,1845,365,,,
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,2947,365,,,
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,2919,365,,,
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,1052,365,,,
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,2051,365,,,
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,1800,365,,,
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,2183,365,,,
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,1066,366,,,
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,2068,366,,,
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,1917,366,,,
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,1222,366,,,
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,2805,366,,,
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,2278,366,,,
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,1180,366,,,
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,2251,365,,,
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,2147,365,,,
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,2601,365,,,
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,2810,365,,,
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,2292,365,,,
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,2537,365,,,
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,1904,365,,,
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,1500,365,,,
209,Tom,North,Basic,30/09/2022,30/09/2023,TRUE,1518,365,,,
210,Eva,South,Premium,31/10/2022,31/10/2023,TRUE,2980,365,,,
211,Liam,East,Basic,30/11/2022,30/11/2023,FALSE,1602,365,,,
212,Anna,West,Standard,31/12/2022,31/12/2023,FALSE,1705,365,,,
213,Chris,North,Basic,31/01/2023,31/01/2024,TRUE,2865,365,,,
214,Zoe,South,Premium,28/02/2023,29/02/2024,FALSE,1299,366,,,
215,Paul,East,Basic,31/03/2023,31/03/2024,FALSE,2711,366,,,
216,Grace,West,Standard,30/04/2023,30/04/2024,TRUE,1994,366,,,
217,Rob,North,Basic,31/05/2023,31/05/2024,TRUE,1268,366,,,
218,Sophia,South,Premium,30/06/2023,30/06/2024,FALSE,1118,366,,,
219,Dan,East,Basic,31/07/2023,31/07/2024,FALSE,2097,366,,,
220,Nina,West,Standard,31/08/2023,31/08/2024,TRUE,2951,366,,,
201,John,North,Basic,31/01/2022,31/01/2023,FALSE,2318,365,,,
202,Jane,South,Premium,28/02/2022,28/02/2023,TRUE,1693,365,,,
203,Alex,East,Basic,31/03/2022,31/03/2023,FALSE,1819,365,,,
204,Maria,West,Standard,30/04/2022,30/04/2023,TRUE,2217,365,,,
205,James,North,Basic,31/05/2022,31/05/2023,FALSE,1545,365,,,
206,Ella,South,Premium,30/06/2022,30/06/2023,TRUE,1358,365,,,
207,Mike,East,Basic,31/07/2022,31/07/2023,FALSE,1140,365,,,
208,Sara,West,Standard,31/08/2022,31/08/2023,FALSE,2138,365,,,
